"id","price","name","img","cat_id"
"144818","199","Chou Kale bio","/img/PM/P/0/18/0P_144818.gif","0"
"123578","269","Chou romanesco pièce","/img/PM/P/0/78/0P_123578.gif","0"
"348924","366","Potage de légumes verts bio","/img/PM/P/0/24/0P_348924.gif","0"
"348925","359","Potage de carottes et panais bio","/img/PM/P/0/25/0P_348925.gif","0"
"348923","359","Potage de tomates bio","/img/PM/P/0/23/0P_348923.gif","0"
"174283","309","Velouté de Potirons et Carottes","/img/PM/P/0/83/0P_174283.gif","0"
"304866","239","Carottes de Tilques Cat 1","/img/PM/P/0/66/0P_304866.gif","0"
"124669","199","Courgette ronde bio","/img/PM/P/0/69/0P_124669.gif","0"
"136874","279","Soupe fraîche Velouté de légumes","/img/PM/P/0/74/0P_136874.gif","0"
"95417","179","Dattes Ravier","/img/PM/P/0/17/0P_95417.gif","0"
"123041","249","A dessert - Orange Navelina bio Cat 2","/img/PM/P/0/41/0P_123041.gif","0"
"123043","279","Clémentine bio Cat 2","/img/PM/P/0/43/0P_123043.gif","0"
"102619","299","Kiwi vert bio Cat 2","/img/PM/P/0/19/0P_102619.gif","0"
"125950","269","Poire bio variété Guyot Cat 2","/img/PM/P/0/50/0P_125950.gif","0"
"158805","299","Pomme golden bio Cat 2","/img/PM/P/0/05/0P_158805.gif","0"
"123220","299","Pomme Juliet bio Cat 2","/img/PM/P/0/20/0P_123220.gif","0"
"124574","299","Pomme bicolore bio Cat 2","/img/PM/P/0/74/0P_124574.gif","0"
"167200","199","Pomme Jazz Cat 1","/img/PM/P/0/00/0P_167200.gif","0"
"120672","399","Raisin Muscat Cat 1","/img/PM/P/0/72/0P_120672.gif","0"
"123848","129","Celeri rave pièce","/img/PM/P/0/48/0P_123848.gif","0"
"165269","799","Panier de Légumes bio","/img/PM/P/0/69/0P_165269.gif","0"
"102166","199","Carotte bio Cat 2","/img/PM/P/0/66/0P_102166.gif","0"
"125624","129","Choux de Bruxelles Cat 1","/img/PM/P/0/24/0P_125624.gif","0"
"123379","129","Chou chinois pièce","/img/PM/P/0/79/0P_123379.gif","0"
"124090","129","Chou vert frisé pièce","/img/PM/P/0/90/0P_124090.gif","0"
"113690","129","Chou blanc pièce","/img/PM/P/0/90/0P_113690.gif","0"
"4404","99","Brocoli","/img/PM/P/0/04/0P_4404.gif","0"
"4348","129","Chou rouge pièce","/img/PM/P/0/48/0P_4348.gif","0"
"122932","249","2 Poivron bio rouge, vert ou jaune Cat 2","/img/PM/P/0/32/0P_122932.gif","0"
"123354","215","Tomates cerise bio Cat 2","/img/PM/P/0/54/0P_123354.gif","0"
"13139","220","Kiwi  vert Cat 1","/img/PM/P/0/40/0P_122840.gif","0"
"19809","420","Pomme Pink lady pièce cat 1","/img/PM/P/0/43/0P_122643.gif","0"
"6622","229","Navet","/img/PM/P/0/22/0P_6622.gif","0"
"124462","239","Endive pleine terre","/img/PM/P/0/62/0P_124462.gif","0"
"13140","276","Tomate ronde charnue à farcir","/img/PM/P/0/49/0P_122649.gif","0"
"131288","509","Pruneaux d'Agen entiers géants","/img/PM/P/0/88/0P_131288.gif","0"
"18221","570","Pur jus d'orange pressée bio","/img/PM/P/0/24/0P_85224.gif","0"
"18220","446","Pur jus de Pomme bio","/img/PM/P/0/25/0P_85225.gif","0"
"16372","392","Petits pois bio","/img/PM/P/0/88/0P_135488.gif","0"
"125930","479","Clémentine à déguster","/img/PM/P/0/30/0P_125930.gif","0"
"125224","329","Clémentine Feuilles","/img/PM/P/0/24/0P_125224.gif","0"
"123389","599","A Jus - Orange Valencia Late Cat 1","/img/PM/P/0/89/0P_123389.gif","0"
"101214","449","A dessert - Orange Navelina Cat 1","/img/PM/P/0/14/0P_101214.gif","0"
"120123","90","Pomelo Cat 1 pièce","/img/PM/P/0/23/0P_120123.gif","0"
"124189","319","Clementine à déguster","/img/PM/P/0/89/0P_124189.gif","0"
"122974","65","Citron Eureka Cat 1","/img/PM/P/0/74/0P_122974.gif","0"
"120074","319","Citron Primofiori Cat 1","/img/PM/P/0/74/0P_120074.gif","0"
"123045","269","Citron bio variété Primofiori Cat 2","/img/PM/P/0/45/0P_123045.gif","0"
"124579","189","Citrons non traités - variété Primofiori - Cat 1","/img/PM/P/0/79/0P_124579.gif","0"
"121527","349","A déguster - Clémentine à deguster Cat 1","/img/PM/P/0/27/0P_121527.gif","0"
"124471","219","Pomelo géant de Chine pièce","/img/PM/P/0/71/0P_124471.gif","0"
"172185","55","Citron vert pièce Cat 1","/img/PM/P/0/85/0P_172185.gif","0"
"116699","399","Orange navel late cat 1","/img/PM/P/0/99/0P_116699.gif","0"
"120687","249","Lime - Citron vert Cat 1","/img/PM/P/0/87/0P_120687.gif","0"
"120648","129","Banane Cavendisch Cat 1","/img/PM/P/0/48/0P_120648.gif","0"
"122402","199","Banane Cavendisch Cat 1","/img/PM/P/0/02/0P_122402.gif","0"
"123974","129","Banane Cat 1","/img/PM/P/0/74/0P_123974.gif","0"
"122936","179","Banane bio variété Cavendisch Cat 2","/img/PM/P/0/36/0P_122936.gif","0"
"192431","199","Banane Cavendisch Cat 1","/img/PM/P/0/31/0P_192431.gif","0"
"123658","599","Marrons","/img/PM/P/0/58/0P_123658.gif","0"
"132378","199","Mangue Osteen pièce","/img/PM/P/0/78/0P_132378.gif","0"
"141476","149","Gingembre bio","/img/PM/P/0/76/0P_141476.gif","0"
"101030","219","Ananas extra doux","/img/PM/P/0/30/0P_101030.gif","0"
"124917","249","Kaki bio","/img/PM/P/0/17/0P_124917.gif","0"
"123829","79","Grenade pièce","/img/PM/P/0/29/0P_123829.gif","0"
"354222","299","Mangue bio Osteen","/img/PM/P/0/22/0P_354222.gif","0"
"111059","169","Noix de coco pièce","/img/PM/P/0/59/0P_111059.gif","0"
"125329","60","Fruit de la passion pièce","/img/PM/P/0/29/0P_125329.gif","0"
"109981","399","Ananas Queen Victoria","/img/PM/P/0/81/0P_109981.gif","0"
"122377","249","Framboise","/img/PM/P/0/77/0P_122377.gif","0"
"122840","55","Kiwi  vert Cat 1","/img/PM/P/0/40/0P_122840.gif","0"
"183330","319","Kiwi jaune bio Cat 1","/img/PM/P/0/30/0P_183330.gif","0"
"120829","139","Poire Conférence ou guyot Cat 2","/img/PM/P/0/29/0P_120829.gif","0"
"120745","259","Poire Conference Cat 1","/img/PM/P/0/45/0P_120745.gif","0"
"122984","49","Poire Guyot ou Williams pièce Cat 1","/img/PM/P/0/84/0P_122984.gif","0"
"123266","249","Pomme Gala Cat 1","/img/PM/P/0/66/0P_123266.gif","0"
"125691","249","Pomme Reinette Cat 1","/img/PM/P/0/91/0P_125691.gif","0"
"121472","249","Pomme Golden Cat 2","/img/PM/P/0/72/0P_121472.gif","0"
"151685","349","Pink Lady - Pomme Pinkids Cat 1","/img/PM/P/0/85/0P_151685.gif","0"
"123264","249","Pomme Red, Gala, Granny Cat 1","/img/PM/P/0/64/0P_123264.gif","0"
